episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
437,30436,white,1-0,1.0,1.0,23,checkmate,False
438,30437,black,0-1,1.0,1.0,20,checkmate,False
439,30438,white,1/2-1/2,0.0,0.5,86,threefold_repetition,False
440,30439,black,0-1,1.0,1.0,52,checkmate,False
441,30440,white,1-0,1.0,1.0,39,checkmate,False
442,30441,black,1/2-1/2,0.0,0.5,100,max_plies,False
443,30442,white,1/2-1/2,0.0,0.5,100,max_plies,False
444,30443,black,0-1,1.0,1.0,28,checkmate,False
445,30444,white,1-0,1.0,1.0,13,checkmate,False
446,30445,black,1/2-1/2,0.0,0.5,100,max_plies,False
447,30446,white,1-0,1.0,1.0,23,checkmate,False
448,30447,black,1/2-1/2,0.0,0.5,100,max_plies,False
449,30448,white,1-0,1.0,1.0,57,checkmate,False
450,30449,black,1/2-1/2,0.0,0.5,100,max_plies,False
451,30450,white,1-0,1.0,1.0,59,checkmate,False
452,30451,black,0-1,1.0,1.0,90,checkmate,False
453,30452,white,1/2-1/2,0.0,0.5,100,max_plies,False
454,30453,black,1/2-1/2,0.0,0.5,100,max_plies,False
455,30454,white,1/2-1/2,0.0,0.5,100,max_plies,False
456,30455,black,1/2-1/2,0.0,0.5,32,threefold_repetition,False
457,30456,white,1/2-1/2,0.0,0.5,86,threefold_repetition,False
458,30457,black,1/2-1/2,0.0,0.5,100,max_plies,False
459,30458,white,1-0,1.0,1.0,31,checkmate,False
460,30459,black,0-1,1.0,1.0,88,checkmate,False
461,30460,white,1-0,1.0,1.0,89,checkmate,False
462,30461,black,1/2-1/2,0.0,0.5,100,max_plies,False
463,30462,white,1/2-1/2,0.0,0.5,100,max_plies,False
464,30463,black,1/2-1/2,0.0,0.5,100,max_plies,False
465,30464,white,1/2-1/2,0.0,0.5,100,max_plies,False
466,30465,black,0-1,1.0,1.0,28,checkmate,False
467,30466,white,1-0,1.0,1.0,35,checkmate,False
468,30467,black,0-1,1.0,1.0,78,checkmate,False
469,30468,white,1/2-1/2,0.0,0.5,100,max_plies,False
470,30469,black,0-1,1.0,1.0,12,checkmate,False
471,30470,white,1/2-1/2,0.0,0.5,100,max_plies,False
472,30471,black,1/2-1/2,0.0,0.5,86,threefold_repetition,False
473,30472,white,1-0,1.0,1.0,5,checkmate,False
474,30473,black,0-1,1.0,1.0,60,checkmate,False
475,30474,white,1/2-1/2,0.0,0.5,100,max_plies,False
476,30475,black,0-1,1.0,1.0,60,checkmate,False
477,30476,white,1-0,1.0,1.0,25,checkmate,False
478,30477,black,0-1,1.0,1.0,56,checkmate,False
479,30478,white,1/2-1/2,0.0,0.5,42,threefold_repetition,False
480,30479,black,1/2-1/2,0.0,0.5,89,threefold_repetition,False
481,30480,white,1/2-1/2,0.0,0.5,100,max_plies,False
482,30481,black,0-1,1.0,1.0,50,checkmate,False
483,30482,white,1-0,1.0,1.0,25,checkmate,False
484,30483,black,1/2-1/2,0.0,0.5,84,threefold_repetition,False
485,30484,white,1-0,1.0,1.0,23,checkmate,False
486,30485,black,0-1,1.0,1.0,100,checkmate,False
487,30486,white,1-0,1.0,1.0,33,checkmate,False
488,30487,black,1/2-1/2,0.0,0.5,100,max_plies,False
489,30488,white,1-0,1.0,1.0,77,checkmate,False
490,30489,black,1/2-1/2,0.0,0.5,100,max_plies,False
491,30490,white,1/2-1/2,0.0,0.5,100,max_plies,False
492,30491,black,1/2-1/2,0.0,0.5,100,max_plies,False
493,30492,white,1-0,1.0,1.0,57,checkmate,False
494,30493,black,1/2-1/2,0.0,0.5,82,threefold_repetition,False
495,30494,white,1/2-1/2,0.0,0.5,100,max_plies,False
496,30495,black,1/2-1/2,0.0,0.5,100,max_plies,False
497,30496,white,1-0,1.0,1.0,53,checkmate,False
498,30497,black,1/2-1/2,0.0,0.5,100,max_plies,False
499,30498,white,1/2-1/2,0.0,0.5,100,max_plies,False
500,30499,black,0-1,1.0,1.0,62,checkmate,False
