episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
458,20457,black,1-0,-1.0,0.0,43,checkmate,False
459,20458,white,0-1,-1.0,0.0,64,checkmate,False
460,20459,black,1-0,-1.0,0.0,43,checkmate,False
461,20460,white,0-1,-1.0,0.0,64,checkmate,False
462,20461,black,1-0,-1.0,0.0,43,checkmate,False
463,20462,white,0-1,-1.0,0.0,64,checkmate,False
464,20463,black,1-0,-1.0,0.0,43,checkmate,False
465,20464,white,0-1,-1.0,0.0,64,checkmate,False
466,20465,black,1-0,-1.0,0.0,43,checkmate,False
467,20466,white,0-1,-1.0,0.0,64,checkmate,False
468,20467,black,1-0,-1.0,0.0,43,checkmate,False
469,20468,white,0-1,-1.0,0.0,64,checkmate,False
470,20469,black,1-0,-1.0,0.0,43,checkmate,False
471,20470,white,0-1,-1.0,0.0,64,checkmate,False
472,20471,black,1-0,-1.0,0.0,43,checkmate,False
473,20472,white,0-1,-1.0,0.0,64,checkmate,False
474,20473,black,1-0,-1.0,0.0,43,checkmate,False
475,20474,white,0-1,-1.0,0.0,64,checkmate,False
476,20475,black,1-0,-1.0,0.0,43,checkmate,False
477,20476,white,0-1,-1.0,0.0,64,checkmate,False
478,20477,black,1-0,-1.0,0.0,43,checkmate,False
479,20478,white,0-1,-1.0,0.0,64,checkmate,False
480,20479,black,1-0,-1.0,0.0,43,checkmate,False
481,20480,white,0-1,-1.0,0.0,64,checkmate,False
482,20481,black,1-0,-1.0,0.0,43,checkmate,False
483,20482,white,0-1,-1.0,0.0,64,checkmate,False
484,20483,black,1-0,-1.0,0.0,43,checkmate,False
485,20484,white,0-1,-1.0,0.0,64,checkmate,False
486,20485,black,1-0,-1.0,0.0,43,checkmate,False
487,20486,white,0-1,-1.0,0.0,64,checkmate,False
488,20487,black,1-0,-1.0,0.0,43,checkmate,False
489,20488,white,0-1,-1.0,0.0,64,checkmate,False
490,20489,black,1-0,-1.0,0.0,43,checkmate,False
491,20490,white,0-1,-1.0,0.0,64,checkmate,False
492,20491,black,1-0,-1.0,0.0,43,checkmate,False
493,20492,white,0-1,-1.0,0.0,64,checkmate,False
494,20493,black,1-0,-1.0,0.0,43,checkmate,False
495,20494,white,0-1,-1.0,0.0,64,checkmate,False
496,20495,black,1-0,-1.0,0.0,43,checkmate,False
497,20496,white,0-1,-1.0,0.0,64,checkmate,False
498,20497,black,1-0,-1.0,0.0,43,checkmate,False
499,20498,white,0-1,-1.0,0.0,64,checkmate,False
500,20499,black,1-0,-1.0,0.0,43,checkmate,False
