episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
378,21377,black,1-0,-1.0,0.0,41,checkmate,False
379,21378,white,0-1,-1.0,0.0,70,checkmate,False
380,21379,black,1-0,-1.0,0.0,15,checkmate,False
381,21380,white,1/2-1/2,0.0,0.5,71,threefold_repetition,False
382,21381,black,1-0,-1.0,0.0,53,checkmate,False
383,21382,white,0-1,-1.0,0.0,32,checkmate,False
384,21383,black,1-0,-1.0,0.0,37,checkmate,False
385,21384,white,0-1,-1.0,0.0,30,checkmate,False
386,21385,black,1-0,-1.0,0.0,27,checkmate,False
387,21386,white,0-1,-1.0,0.0,36,checkmate,False
388,21387,black,1-0,-1.0,0.0,17,checkmate,False
389,21388,white,0-1,-1.0,0.0,44,checkmate,False
390,21389,black,1-0,-1.0,0.0,65,checkmate,False
391,21390,white,0-1,-1.0,0.0,64,checkmate,False
392,21391,black,1-0,-1.0,0.0,67,checkmate,False
393,21392,white,0-1,-1.0,0.0,38,checkmate,False
394,21393,black,1-0,-1.0,0.0,29,checkmate,False
395,21394,white,0-1,-1.0,0.0,84,checkmate,False
396,21395,black,1-0,-1.0,0.0,25,checkmate,False
397,21396,white,0-1,-1.0,0.0,46,checkmate,False
398,21397,black,1-0,-1.0,0.0,55,checkmate,False
399,21398,white,0-1,-1.0,0.0,20,checkmate,False
400,21399,black,1-0,-1.0,0.0,25,checkmate,False
401,21400,white,0-1,-1.0,0.0,30,checkmate,False
402,21401,black,1-0,-1.0,0.0,25,checkmate,False
403,21402,white,0-1,-1.0,0.0,54,checkmate,False
404,21403,black,1-0,-1.0,0.0,19,checkmate,False
405,21404,white,0-1,-1.0,0.0,38,checkmate,False
406,21405,black,1-0,-1.0,0.0,33,checkmate,False
407,21406,white,0-1,-1.0,0.0,50,checkmate,False
408,21407,black,1-0,-1.0,0.0,41,checkmate,False
409,21408,white,0-1,-1.0,0.0,40,checkmate,False
410,21409,black,1-0,-1.0,0.0,15,checkmate,False
411,21410,white,0-1,-1.0,0.0,28,checkmate,False
412,21411,black,1-0,-1.0,0.0,65,checkmate,False
413,21412,white,0-1,-1.0,0.0,40,checkmate,False
414,21413,black,1-0,-1.0,0.0,31,checkmate,False
415,21414,white,0-1,-1.0,0.0,42,checkmate,False
416,21415,black,1-0,-1.0,0.0,41,checkmate,False
417,21416,white,0-1,-1.0,0.0,18,checkmate,False
418,21417,black,1-0,-1.0,0.0,31,checkmate,False
419,21418,white,0-1,-1.0,0.0,40,checkmate,False
420,21419,black,1-0,-1.0,0.0,43,checkmate,False
421,21420,white,0-1,-1.0,0.0,46,checkmate,False
422,21421,black,1-0,-1.0,0.0,15,checkmate,False
423,21422,white,0-1,-1.0,0.0,42,checkmate,False
424,21423,black,1-0,-1.0,0.0,19,checkmate,False
425,21424,white,0-1,-1.0,0.0,40,checkmate,False
426,21425,black,1-0,-1.0,0.0,57,checkmate,False
427,21426,white,0-1,-1.0,0.0,46,checkmate,False
428,21427,black,1-0,-1.0,0.0,53,checkmate,False
429,21428,white,0-1,-1.0,0.0,14,checkmate,False
430,21429,black,1-0,-1.0,0.0,57,checkmate,False
431,21430,white,0-1,-1.0,0.0,48,checkmate,False
432,21431,black,1-0,-1.0,0.0,19,checkmate,False
433,21432,white,0-1,-1.0,0.0,30,checkmate,False
434,21433,black,1-0,-1.0,0.0,19,checkmate,False
435,21434,white,0-1,-1.0,0.0,20,checkmate,False
436,21435,black,1-0,-1.0,0.0,19,checkmate,False
437,21436,white,0-1,-1.0,0.0,72,checkmate,False
438,21437,black,1-0,-1.0,0.0,29,checkmate,False
439,21438,white,0-1,-1.0,0.0,28,checkmate,False
440,21439,black,1-0,-1.0,0.0,19,checkmate,False
441,21440,white,0-1,-1.0,0.0,28,checkmate,False
442,21441,black,1-0,-1.0,0.0,25,checkmate,False
443,21442,white,0-1,-1.0,0.0,42,checkmate,False
444,21443,black,1-0,-1.0,0.0,31,checkmate,False
445,21444,white,0-1,-1.0,0.0,30,checkmate,False
446,21445,black,1-0,-1.0,0.0,15,checkmate,False
447,21446,white,0-1,-1.0,0.0,26,checkmate,False
448,21447,black,1-0,-1.0,0.0,33,checkmate,False
449,21448,white,0-1,-1.0,0.0,20,checkmate,False
450,21449,black,1-0,-1.0,0.0,45,checkmate,False
451,21450,white,0-1,-1.0,0.0,20,checkmate,False
452,21451,black,1-0,-1.0,0.0,19,checkmate,False
453,21452,white,0-1,-1.0,0.0,50,checkmate,False
454,21453,black,1-0,-1.0,0.0,59,checkmate,False
455,21454,white,0-1,-1.0,0.0,34,checkmate,False
456,21455,black,1-0,-1.0,0.0,19,checkmate,False
457,21456,white,0-1,-1.0,0.0,38,checkmate,False
458,21457,black,1-0,-1.0,0.0,65,checkmate,False
459,21458,white,0-1,-1.0,0.0,18,checkmate,False
460,21459,black,1-0,-1.0,0.0,67,checkmate,False
461,21460,white,0-1,-1.0,0.0,38,checkmate,False
462,21461,black,1-0,-1.0,0.0,31,checkmate,False
463,21462,white,0-1,-1.0,0.0,34,checkmate,False
464,21463,black,1-0,-1.0,0.0,21,checkmate,False
465,21464,white,0-1,-1.0,0.0,28,checkmate,False
466,21465,black,1-0,-1.0,0.0,27,checkmate,False
467,21466,white,0-1,-1.0,0.0,30,checkmate,False
468,21467,black,1-0,-1.0,0.0,45,checkmate,False
469,21468,white,0-1,-1.0,0.0,64,checkmate,False
470,21469,black,1-0,-1.0,0.0,35,checkmate,False
471,21470,white,0-1,-1.0,0.0,12,checkmate,False
472,21471,black,1-0,-1.0,0.0,23,checkmate,False
473,21472,white,0-1,-1.0,0.0,32,checkmate,False
474,21473,black,1-0,-1.0,0.0,59,checkmate,False
475,21474,white,0-1,-1.0,0.0,40,checkmate,False
476,21475,black,1-0,-1.0,0.0,37,checkmate,False
477,21476,white,0-1,-1.0,0.0,36,checkmate,False
478,21477,black,1-0,-1.0,0.0,57,checkmate,False
479,21478,white,0-1,-1.0,0.0,44,checkmate,False
480,21479,black,1-0,-1.0,0.0,57,checkmate,False
481,21480,white,0-1,-1.0,0.0,32,checkmate,False
482,21481,black,1-0,-1.0,0.0,31,checkmate,False
483,21482,white,0-1,-1.0,0.0,24,checkmate,False
484,21483,black,1-0,-1.0,0.0,15,checkmate,False
485,21484,white,0-1,-1.0,0.0,50,checkmate,False
486,21485,black,1-0,-1.0,0.0,27,checkmate,False
487,21486,white,0-1,-1.0,0.0,30,checkmate,False
488,21487,black,1-0,-1.0,0.0,29,checkmate,False
489,21488,white,0-1,-1.0,0.0,30,checkmate,False
490,21489,black,1-0,-1.0,0.0,33,checkmate,False
491,21490,white,0-1,-1.0,0.0,66,checkmate,False
492,21491,black,1-0,-1.0,0.0,37,checkmate,False
493,21492,white,0-1,-1.0,0.0,48,checkmate,False
494,21493,black,1-0,-1.0,0.0,27,checkmate,False
495,21494,white,0-1,-1.0,0.0,38,checkmate,False
496,21495,black,1-0,-1.0,0.0,45,checkmate,False
497,21496,white,0-1,-1.0,0.0,20,checkmate,False
498,21497,black,1-0,-1.0,0.0,19,checkmate,False
499,21498,white,0-1,-1.0,0.0,60,checkmate,False
500,21499,black,1-0,-1.0,0.0,65,checkmate,False
