episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
207,94206,white,1/2-1/2,0.0,0.5,112,threefold_repetition,False
208,94207,black,1/2-1/2,0.0,0.5,144,threefold_repetition,False
209,94208,white,1-0,1.0,1.0,49,checkmate,False
210,94209,black,1/2-1/2,0.0,0.5,59,threefold_repetition,False
211,94210,white,1-0,1.0,1.0,37,checkmate,False
212,94211,black,1/2-1/2,0.0,0.5,133,threefold_repetition,False
213,94212,white,1-0,1.0,1.0,95,checkmate,False
214,94213,black,0-1,1.0,1.0,64,checkmate,False
215,94214,white,1-0,1.0,1.0,15,checkmate,False
216,94215,black,1/2-1/2,0.0,0.5,200,max_plies,False
217,94216,white,1/2-1/2,0.0,0.5,196,insufficient_material,False
218,94217,black,0-1,1.0,1.0,16,checkmate,False
219,94218,white,1/2-1/2,0.0,0.5,144,threefold_repetition,False
220,94219,black,1/2-1/2,0.0,0.5,136,threefold_repetition,False
221,94220,white,1/2-1/2,0.0,0.5,140,threefold_repetition,False
222,94221,black,1/2-1/2,0.0,0.5,200,max_plies,False
223,94222,white,1/2-1/2,0.0,0.5,95,threefold_repetition,False
224,94223,black,1/2-1/2,0.0,0.5,78,threefold_repetition,False
225,94224,white,1-0,1.0,1.0,103,checkmate,False
226,94225,black,1/2-1/2,0.0,0.5,200,max_plies,False
227,94226,white,1-0,1.0,1.0,15,checkmate,False
228,94227,black,1/2-1/2,0.0,0.5,80,threefold_repetition,False
229,94228,white,1-0,1.0,1.0,23,checkmate,False
230,94229,black,1/2-1/2,0.0,0.5,200,max_plies,False
231,94230,white,1/2-1/2,0.0,0.5,36,threefold_repetition,False
232,94231,black,1/2-1/2,0.0,0.5,149,threefold_repetition,False
233,94232,white,1-0,1.0,1.0,5,checkmate,False
234,94233,black,1/2-1/2,0.0,0.5,177,threefold_repetition,False
235,94234,white,1-0,1.0,1.0,83,checkmate,False
236,94235,black,1/2-1/2,0.0,0.5,193,threefold_repetition,False
237,94236,white,1-0,1.0,1.0,119,checkmate,False
238,94237,black,0-1,1.0,1.0,64,checkmate,False
239,94238,white,1/2-1/2,0.0,0.5,63,threefold_repetition,False
240,94239,black,1/2-1/2,0.0,0.5,200,max_plies,False
241,94240,white,1/2-1/2,0.0,0.5,54,threefold_repetition,False
242,94241,black,1/2-1/2,0.0,0.5,200,max_plies,False
243,94242,white,1-0,1.0,1.0,17,checkmate,False
244,94243,black,1/2-1/2,0.0,0.5,120,threefold_repetition,False
245,94244,white,1-0,1.0,1.0,35,checkmate,False
246,94245,black,0-1,1.0,1.0,14,checkmate,False
247,94246,white,1/2-1/2,0.0,0.5,200,max_plies,False
