timestamp,step,phase,episode,result,reward,plies,agent_color,opponent,termination,checkpoint
2026-08-30T17:23:41+00:00,16384,evaluation,64,0-1,1.0,80,black,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,65,1-0,1.0,29,white,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,66,0-1,1.0,52,black,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,67,1/2-1/2,0.0,70,white,alpha-random,threefold_repetition,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,68,1/2-1/2,0.0,100,black,alpha-random,max_plies,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,69,1/2-1/2,0.0,100,white,alpha-random,max_plies,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,70,1/2-1/2,0.0,100,black,alpha-random,max_plies,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,71,1-0,1.0,59,white,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,72,1/2-1/2,0.0,100,black,alpha-random,max_plies,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,73,1/2-1/2,0.0,100,white,alpha-random,max_plies,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,74,0-1,1.0,36,black,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,75,1/2-1/2,0.0,100,white,alpha-random,max_plies,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,76,1/2-1/2,0.0,98,black,alpha-random,threefold_repetition,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,77,1-0,1.0,63,white,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,78,1/2-1/2,0.0,100,black,alpha-random,max_plies,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,79,1-0,1.0,97,white,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,80,1/2-1/2,0.0,45,black,alpha-random,threefold_repetition,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,81,1/2-1/2,0.0,74,white,alpha-random,threefold_repetition,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,82,1/2-1/2,0.0,100,black,alpha-random,max_plies,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,83,1/2-1/2,0.0,35,white,alpha-random,threefold_repetition,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,84,0-1,1.0,22,black,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,85,1-0,1.0,61,white,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,86,0-1,1.0,68,black,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,87,1-0,1.0,29,white,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,88,0-1,1.0,20,black,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,89,1-0,1.0,61,white,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,90,0-1,1.0,76,black,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,91,1-0,1.0,31,white,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,92,0-1,1.0,54,black,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,93,1-0,1.0,45,white,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,94,0-1,1.0,50,black,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,95,1/2-1/2,0.0,100,white,alpha-random,max_plies,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,96,0-1,1.0,34,black,alpha-random,checkmate,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,97,1/2-1/2,0.0,100,white,alpha-random,max_plies,step:16384:initial
2026-08-30T17:23:41+00:00,16384,evaluation,98,1/2-1/2,0.0,100,black,alpha-random,max_plies,step:16384:initial
